text,migration_relevance,similarity
RT @GkrahnKrahn: #Wilmington Stencil Studio Online Shop #bedroom #wall #decor https://t.co/kuMdMJwCml #Like,no,0.0
"@name_janemorrow worse still, mine are all Russian. My #syria and my image matter are clearly drawing attention",no,0.22941573387056174
NATO Will Stop At Nothing To Support Proxy Army! https://t.co/sNhaeryOsK #ISIS #StopBombingSyria #syria #serena #shim,no,0.23570226039551587
France pushes #UN draft resolution on Aleppo ceasefire https://t.co/gypKdsCgj6 #ريتويت #syria,no,0.5345224838248488
Pokemon of #syria. #Moustafa_Jano https://t.co/CsLux4yifX https://t.co/20ugAjsocv,no,0.23570226039551587
"@Omojuwa And why @GovernmentRF has refused to stop the aggression against other countries, notably #ukraine and #syria.",no,0.24253562503633297
"Oil, Power and Money: “Assad Must Go” https://t.co/jylslUX7uZ #syria",no,0.2886751345948129
"RT @mehabdullah9595: Why was she killed for ?
#syria 
#حلب_ستحاجكم_عند_الله   #Islam https://t.co/tWMRXI6SVC",no,0.2672612419124244
#sale for great #selection #artworks https://t.co/KOG1TV2scO #modern #abstract #contemporary #fineart #wall #pop... https://t.co/5EbqO1t0Fj,no,0.0
"#MiddleEasteye Turkey extends mandate to use troops in Iraq, Syria by one year: 
  Language 
 Undefine... https://t.co/QgluZpiH9m #syria",no,0.22360679774997896
"RT @KarinZiot: Impressively scary video of #retainingwall #wall. Will for sure go in my ""motivation"" intro for Undergrad Soil Mech… ",no,0.0
"RT @hadeelalsh: ""No one cares, no one listens, no one is stopping this waterfall of blood."" - #Aleppo hospital staff #syria",no,0.1889822365046136
"RT @hadeelalsh: ""No one cares, no one listens, no one is stopping this waterfall of blood."" - #Aleppo hospital staff #syria",no,0.1889822365046136
Three police cars set ablaze in Dresden ahead of German Unity Day: BERLIN (Reuters) - Unknown p... https://t.co/ncyfZPw60o #world #syria,no,0.21320071635561041
"RT @hadeelalsh: ""No one cares, no one listens, no one is stopping this waterfall of blood."" - #Aleppo hospital staff #syria",no,0.1889822365046136
"How do you get one? 5 things to know about the Nobel Prizes: STOCKHOLM (AP) — Actors yearn for Oscars,... https://t.co/WNCX8UBZT0 #syria",no,0.20412414523193154
RT @Harryslaststand: While the west rightly condemns war crimes in #syria they are mute on Yemen b/c #SaudiArabia interests matter more…,no,0.21320071635561041
The latest The news-de Daily! https://t.co/ur3KLCDlYZ #syria,no,0.2773500981126146
RT @Libya_SOS: The latest Libya S.O.S. - Daily News! https://t.co/yorhSBg4J4 Thanks to @LablanchFanny @fubarista @NorthAndrew #aleppo #syria,no,0.20851441405707477
RT @75Ying: LED lights: Bathroom lighting ideas – Dusk til Dawn #bathroom #wall #paper https://t.co/5TdmMOWH4V,no,0.0
RT @KepplerVip: The Big Reveal – Sea themed bedroom makeover to space themed bedroom #bedroom #wall #clocks https://t.co/oOKVH1yF7A,no,0.0
RT @CrosierTomasa: LED lights: Bathroom lighting ideas – Dusk til Dawn #bathroom #wall #paper https://t.co/DAGqrftKRA,no,0.0
